Summit Motors|456 Oak Avenue, Lakeside, USA|555-987-65431
1FTSW21P77EA53802|2007|Ford|F-250|Truck|Blue|90000.0|12000.0
JHMGE8H3XCN012345|2012|Honda|Fit|Sedan|Red|60000.0|8000.0
1G1ZD5ST9LF123456|2020|Chevrolet|Malibu|Sedan|Black|20000.0|20000.0
WDBRF92H96F801234|2006|Mercedes-Benz|C-Class|Sedan|Silver|80000.0|10000.0
5J6RM4H70FL123456|2015|Honda|CR-V|SUV|White|70000.0|15000.0
1NXBR32E44Z123456|2004|Toyota|Corolla|Sedan|Blue|100000.0|5000.0
WBAPH77579A123456|2009|BMW|3Series|Sedan|Gray|80000.0|12000.0
1G1JC52F327123456|2002|Chevrolet|Cavalier|Sedan|Red|120000.0|3000.0
JN1CV6AP1BM123456|2011|Infiniti|G37|Sedan|Black|70000.0|14000.0
3D7KS29A78G123456|2008|Dodge|Ram2500|Truck|White|100000.0|18000.0
1GNSKBE04DR123456|2013|Chevrolet|Suburban|SUV|Black|80000.0|25000.0
1FTYR10U07PA12345|2007|Ford|Ranger|Truck|Blue|120000.0|8000.0
5TDZA23C97S123456|2007|Toyota|Sienna|Van|Gray|110000.0|9000.0
KMHDN46D05U123456|2005|Hyundai|Elantra|Sedan|Green|100000.0|5000.0
JN8AS5MV8DW123456|2013|Nissan|Rogue|SUV|Red|70000.0|15000.0
